HBA,HBD,Ratio,Density_g_cm3,Visc_HoleTheory_cP,Vm_cm3_mol
Betaine,"1,2_Butanediol",1:1,1.058,1.506,97.9
Betaine,"1,2_Butanediol",1:2,1.06,6.522,93.5
Betaine,"1,2_Butanediol",1:3,1.06,16.471,91.3
Betaine,"1,2_Butanediol",1:4,1.061,30.715,89.98
Betaine,"1,2_Butanediol",1:5,1.061,47.924,89.1
Betaine,"1,2_Butanediol",2:1,1.056,0.551,102.3
Betaine,"1,2_Butanediol",3:1,1.056,0.389,104.5
Betaine,"1,2_Butanediol",4:1,1.055,0.33,105.82
Betaine,"1,2_Butanediol",5:1,1.055,0.301,106.7
Betaine,"1,3_Butanediol",1:1,1.058,1.506,97.9
Betaine,"1,3_Butanediol",1:2,1.06,6.522,93.5
Betaine,"1,3_Butanediol",1:3,1.06,16.471,91.3
Betaine,"1,3_Butanediol",1:4,1.061,30.715,89.98
Betaine,"1,3_Butanediol",1:5,1.061,47.924,89.1
Betaine,"1,3_Butanediol",2:1,1.056,0.551,102.3
Betaine,"1,3_Butanediol",3:1,1.056,0.389,104.5
Betaine,"1,3_Butanediol",4:1,1.055,0.33,105.82
Betaine,"1,3_Butanediol",5:1,1.055,0.301,106.7
Betaine,"1,4_Butanediol",1:1,1.06,1.697,97.75
Betaine,"1,4_Butanediol",1:2,1.062,7.694,93.3
Betaine,"1,4_Butanediol",1:3,1.063,19.917,91.08
Betaine,"1,4_Butanediol",1:4,1.064,37.723,89.74
Betaine,"1,4_Butanediol",1:5,1.064,59.491,88.85
Betaine,"1,4_Butanediol",2:1,1.057,0.595,102.2
Betaine,"1,4_Butanediol",3:1,1.057,0.412,104.42
Betaine,"1,4_Butanediol",4:1,1.056,0.345,105.76
Betaine,"1,4_Butanediol",5:1,1.056,0.313,106.65
Betaine,"1,6_Hexanediol",1:1,1.033,4.427,113.85
Betaine,"1,6_Hexanediol",1:2,1.026,26.797,114.77
Betaine,"1,6_Hexanediol",1:3,1.023,76.496,115.22
Betaine,"1,6_Hexanediol",1:4,1.021,150.433,115.5
Betaine,"1,6_Hexanediol",1:5,1.019,240.752,115.68
Betaine,"1,6_Hexanediol",2:1,1.04,1.096,112.93
Betaine,"1,6_Hexanediol",3:1,1.043,0.637,112.47
Betaine,"1,6_Hexanediol",4:1,1.045,0.483,112.2
Betaine,"1,6_Hexanediol",5:1,1.047,0.411,112.02
Betaine,"2,3_Butanediol",1:1,1.056,1.339,98.05
Betaine,"2,3_Butanediol",1:2,1.057,5.548,93.7
Betaine,"2,3_Butanediol",1:3,1.058,13.683,91.53
Betaine,"2,3_Butanediol",1:4,1.058,25.14,90.22
Betaine,"2,3_Butanediol",1:5,1.058,38.827,89.35
Betaine,"2,3_Butanediol",2:1,1.055,0.51,102.4
Betaine,"2,3_Butanediol",3:1,1.055,0.367,104.57
Betaine,"2,3_Butanediol",4:1,1.055,0.315,105.88
Betaine,"2,3_Butanediol",5:1,1.055,0.29,106.75
Betaine,Citric_Acid,1:1,2.628,1.563,58.8
Betaine,Citric_Acid,1:2,4.038,8.544,41.37
Betaine,Citric_Acid,1:3,5.308,38.374,32.65
Betaine,Citric_Acid,1:4,6.457,146.589,27.42
Betaine,Citric_Acid,1:5,7.501,489.492,23.93
Betaine,Citric_Acid,2:1,1.864,0.617,76.23
Betaine,Citric_Acid,3:1,1.599,0.448,84.95
Betaine,Citric_Acid,4:1,1.464,0.381,90.18
Betaine,Citric_Acid,5:1,1.383,0.346,93.67
Betaine,Ethylene_Glycol,1:1,1.097,0.596,81.65
Betaine,Ethylene_Glycol,1:2,1.119,1.882,71.83
Betaine,Ethylene_Glycol,1:3,1.133,4.34,66.93
Betaine,Ethylene_Glycol,1:4,1.142,7.965,63.98
Betaine,Ethylene_Glycol,1:5,1.148,12.566,62.02
Betaine,Ethylene_Glycol,2:1,1.079,0.314,91.47
Betaine,Ethylene_Glycol,3:1,1.072,0.263,96.37
Betaine,Ethylene_Glycol,4:1,1.068,0.246,99.32
Betaine,Ethylene_Glycol,5:1,1.065,0.238,101.28
Betaine,Fructose,1:1,1.87,137.47,79.45
Betaine,Fructose,1:2,2.309,18002.506,68.9
Betaine,Fructose,1:3,2.583,506349.722,63.62
Betaine,Fructose,1:4,2.77,5470426.083,60.46
Betaine,Fructose,1:5,2.906,32193545.38,58.35
Betaine,Fructose,2:1,1.534,5.73,90
Betaine,Fructose,3:1,1.394,1.855,95.27
Betaine,Fructose,4:1,1.317,1.062,98.44
Betaine,Fructose,5:1,1.269,0.766,100.55
Betaine,Glucose,1:1,1.857,66.267,80
Betaine,Glucose,1:2,2.284,5603.233,69.63
Betaine,Glucose,1:3,2.55,117584.179,64.45
Betaine,Glucose,1:4,2.73,1030209.732,61.34
Betaine,Glucose,1:5,2.861,5181195.775,59.27
Betaine,Glucose,2:1,1.528,3.771,90.37
Betaine,Glucose,3:1,1.39,1.383,95.55
Betaine,Glucose,4:1,1.314,0.847,98.66
Betaine,Glucose,5:1,1.266,0.637,100.73
Betaine,Glycerol,1:1,1.214,2.315,86.15
Betaine,Glycerol,1:2,1.29,18.014,77.83
Betaine,Glycerol,1:3,1.334,72.32,73.68
Betaine,Glycerol,1:4,1.363,191.714,71.18
Betaine,Glycerol,1:5,1.384,392.157,69.52
Betaine,Glycerol,2:1,1.151,0.635,94.47
Betaine,Glycerol,3:1,1.124,0.416,98.62
Betaine,Glycerol,4:1,1.108,0.343,101.12
Betaine,Glycerol,5:1,1.098,0.309,102.78
Betaine,Lactic_Acid,1:1,1.398,0.273,74.05
Betaine,Lactic_Acid,1:2,1.605,0.446,61.7
Betaine,Lactic_Acid,1:3,1.743,0.669,55.52
Betaine,Lactic_Acid,1:4,1.842,0.919,51.82
Betaine,Lactic_Acid,1:5,1.916,1.179,49.35
Betaine,Lactic_Acid,2:1,1.251,0.222,86.4
Betaine,Lactic_Acid,3:1,1.192,0.214,92.57
Betaine,Lactic_Acid,4:1,1.16,0.214,96.28
Betaine,Lactic_Acid,5:1,1.14,0.215,98.75
Betaine,Levulinic_Acid,1:1,1.406,0.26,82.9
Betaine,Levulinic_Acid,1:2,1.584,0.286,73.5
Betaine,Levulinic_Acid,1:3,1.69,0.304,68.8
Betaine,Levulinic_Acid,1:4,1.762,0.318,65.98
Betaine,Levulinic_Acid,1:5,1.813,0.328,64.1
Betaine,Levulinic_Acid,2:1,1.265,0.246,92.3
Betaine,Levulinic_Acid,3:1,1.204,0.241,97
Betaine,Levulinic_Acid,4:1,1.171,0.239,99.82
Betaine,Levulinic_Acid,5:1,1.15,0.238,101.7
Betaine,Malic_Acid,1:1,2.006,0.362,62.6
Betaine,Malic_Acid,1:2,2.765,0.7,46.43
Betaine,Malic_Acid,1:3,3.384,1.267,38.35
Betaine,Malic_Acid,1:4,3.899,2.109,33.5
Betaine,Malic_Acid,1:5,4.335,3.259,30.27
Betaine,Malic_Acid,2:1,1.558,0.268,78.77
Betaine,Malic_Acid,3:1,1.397,0.248,86.85
Betaine,Malic_Acid,4:1,1.314,0.241,91.7
Betaine,Malic_Acid,5:1,1.263,0.238,94.93
Betaine,Malonic_Acid,1:1,1.903,0.161,58.1
Betaine,Malonic_Acid,1:2,2.68,0.183,40.43
Betaine,Malonic_Acid,1:3,3.395,0.224,31.6
Betaine,Malonic_Acid,1:4,4.054,0.275,26.3
Betaine,Malonic_Acid,1:5,4.664,0.335,22.77
Betaine,Malonic_Acid,2:1,1.488,0.169,75.77
Betaine,Malonic_Acid,3:1,1.345,0.18,84.6
Betaine,Malonic_Acid,4:1,1.273,0.188,89.9
Betaine,Malonic_Acid,5:1,1.23,0.194,93.43
Betaine,Sorbitol,1:1,1.501,271.481,99.65
Betaine,Sorbitol,1:2,1.674,40559.822,95.83
Betaine,Sorbitol,1:3,1.766,893610.641,93.93
Betaine,Sorbitol,1:4,1.822,6997136.169,92.78
Betaine,Sorbitol,1:5,1.861,30125175.193,92.02
Betaine,Sorbitol,2:1,1.341,7.565,103.47
Betaine,Sorbitol,3:1,1.265,2.054,105.37
Betaine,Sorbitol,4:1,1.221,1.087,106.52
Betaine,Sorbitol,5:1,1.192,0.754,107.28
Betaine,Sucrose,1:1,2.397,590390.568,95.8
Betaine,Sucrose,1:2,2.945,11081007003.667,90.7
Betaine,Sucrose,1:3,3.243,4864809039944.79,88.15
Betaine,Sucrose,1:4,3.43,282845702642458,86.62
Betaine,Sucrose,1:5,3.559,5092065951423254,85.6
Betaine,Sucrose,2:1,1.904,474.283,100.9
Betaine,Sucrose,3:1,1.676,32.804,103.45
Betaine,Sucrose,4:1,1.544,8.57,104.98
Betaine,Sucrose,5:1,1.458,3.884,106
Betaine,Urea,1:1,1.23,0.18,72
Betaine,Urea,1:2,1.341,0.237,58.97
Betaine,Urea,1:3,1.416,0.311,52.45
Betaine,Urea,1:4,1.472,0.391,48.54
Betaine,Urea,1:5,1.514,0.471,45.93
Betaine,Urea,2:1,1.153,0.174,85.03
Betaine,Urea,3:1,1.123,0.18,91.55
Betaine,Urea,4:1,1.107,0.187,95.46
Betaine,Urea,5:1,1.097,0.193,98.07
Betaine_Chloride,"1,2_Butanediol",1:1,1.106,3.475,109.9
Betaine_Chloride,"1,2_Butanediol",1:2,1.094,11.195,101.5
Betaine_Chloride,"1,2_Butanediol",1:3,1.088,24.232,97.3
Betaine_Chloride,"1,2_Butanediol",1:4,1.083,41.28,94.78
Betaine_Chloride,"1,2_Butanediol",1:5,1.08,60.765,93.1
Betaine_Chloride,"1,2_Butanediol",2:1,1.116,1.626,118.3
Betaine_Chloride,"1,2_Butanediol",3:1,1.121,1.264,122.5
Betaine_Chloride,"1,2_Butanediol",4:1,1.123,1.127,125.02
Betaine_Chloride,"1,2_Butanediol",5:1,1.125,1.059,126.7
Betaine_Chloride,"1,3_Butanediol",1:1,1.106,3.475,109.9
Betaine_Chloride,"1,3_Butanediol",1:2,1.094,11.195,101.5
Betaine_Chloride,"1,3_Butanediol",1:3,1.088,24.232,97.3
Betaine_Chloride,"1,3_Butanediol",1:4,1.083,41.28,94.78
Betaine_Chloride,"1,3_Butanediol",1:5,1.08,60.765,93.1
Betaine_Chloride,"1,3_Butanediol",2:1,1.116,1.626,118.3
Betaine_Chloride,"1,3_Butanediol",3:1,1.121,1.264,122.5
Betaine_Chloride,"1,3_Butanediol",4:1,1.123,1.127,125.02
Betaine_Chloride,"1,3_Butanediol",5:1,1.125,1.059,126.7
Betaine_Chloride,"1,4_Butanediol",1:1,1.108,3.925,109.75
Betaine_Chloride,"1,4_Butanediol",1:2,1.096,13.232,101.3
Betaine_Chloride,"1,4_Butanediol",1:3,1.09,29.342,97.08
Betaine_Chloride,"1,4_Butanediol",1:4,1.086,50.75,94.54
Betaine_Chloride,"1,4_Butanediol",1:5,1.083,75.493,92.85
Betaine_Chloride,"1,4_Butanediol",2:1,1.117,1.761,118.2
Betaine_Chloride,"1,4_Butanediol",3:1,1.122,1.342,122.42
Betaine_Chloride,"1,4_Butanediol",4:1,1.124,1.182,124.96
Betaine_Chloride,"1,4_Butanediol",5:1,1.126,1.101,126.65
Betaine_Chloride,"1,6_Hexanediol",1:1,1.077,10.416,125.85
Betaine_Chloride,"1,6_Hexanediol",1:2,1.057,47.006,122.77
Betaine_Chloride,"1,6_Hexanediol",1:3,1.046,115.365,121.22
Betaine_Chloride,"1,6_Hexanediol",1:4,1.04,207.5,120.3
Betaine_Chloride,"1,6_Hexanediol",1:5,1.035,313.295,119.68
Betaine_Chloride,"1,6_Hexanediol",2:1,1.097,3.315,128.93
Betaine_Chloride,"1,6_Hexanediol",3:1,1.106,2.125,130.47
Betaine_Chloride,"1,6_Hexanediol",4:1,1.112,1.692,131.4
Betaine_Chloride,"1,6_Hexanediol",5:1,1.115,1.477,132.02
Betaine_Chloride,"2,3_Butanediol",1:1,1.105,3.081,110.05
Betaine_Chloride,"2,3_Butanediol",1:2,1.092,9.503,101.7
Betaine_Chloride,"2,3_Butanediol",1:3,1.085,20.097,97.53
Betaine_Chloride,"2,3_Butanediol",1:4,1.08,33.743,95.02
Betaine_Chloride,"2,3_Butanediol",1:5,1.077,49.18,93.35
Betaine_Chloride,"2,3_Butanediol",2:1,1.115,1.503,118.4
Betaine_Chloride,"2,3_Butanediol",3:1,1.12,1.192,122.57
Betaine_Chloride,"2,3_Butanediol",4:1,1.123,1.075,125.08
Betaine_Chloride,"2,3_Butanediol",5:1,1.125,1.018,126.75
Betaine_Chloride,Citric_Acid,1:1,2.437,3.093,70.8
Betaine_Chloride,Citric_Acid,1:2,3.627,11.675,49.37
Betaine_Chloride,Citric_Acid,1:3,4.716,40.119,38.65
Betaine_Chloride,Citric_Acid,1:4,5.718,124.38,32.22
Betaine_Chloride,Citric_Acid,1:5,6.642,351.096,27.93
Betaine_Chloride,Citric_Acid,2:1,1.8,1.588,92.23
Betaine_Chloride,Citric_Acid,3:1,1.581,1.288,102.95
Betaine_Chloride,Citric_Acid,4:1,1.471,1.166,109.38
Betaine_Chloride,Citric_Acid,5:1,1.404,1.101,113.67
Betaine_Chloride,Ethylene_Glycol,1:1,1.148,1.347,93.65
Betaine_Chloride,Ethylene_Glycol,1:2,1.157,3.154,79.83
Betaine_Chloride,Ethylene_Glycol,1:3,1.163,6.18,72.93
Betaine_Chloride,Ethylene_Glycol,1:4,1.167,10.297,68.78
Betaine_Chloride,Ethylene_Glycol,1:5,1.17,15.274,66.02
Betaine_Chloride,Ethylene_Glycol,2:1,1.142,0.901,107.47
Betaine_Chloride,Ethylene_Glycol,3:1,1.139,0.829,114.37
Betaine_Chloride,Ethylene_Glycol,4:1,1.138,0.813,118.52
Betaine_Chloride,Ethylene_Glycol,5:1,1.137,0.812,121.28
Betaine_Chloride,Fructose,1:1,1.821,296.126,91.45
Betaine_Chloride,Fructose,1:2,2.224,23508.778,76.9
Betaine_Chloride,Fructose,1:3,2.489,507882.788,69.62
Betaine_Chloride,Fructose,1:4,2.676,4772133.232,65.26
Betaine_Chloride,Fructose,1:5,2.816,26048177.045,62.35
Betaine_Chloride,Fructose,2:1,1.529,17.657,106
Betaine_Chloride,Fructose,3:1,1.411,6.411,113.27
Betaine_Chloride,Fructose,4:1,1.347,3.854,117.64
Betaine_Chloride,Fructose,5:1,1.307,2.846,120.55
Betaine_Chloride,Glucose,1:1,1.81,145,92
Betaine_Chloride,Glucose,1:2,2.203,7605.554,77.63
Betaine_Chloride,Glucose,1:3,2.46,124073.513,70.45
Betaine_Chloride,Glucose,1:4,2.641,950482.143,66.14
Betaine_Chloride,Glucose,1:5,2.775,4441398,63.27
Betaine_Chloride,Glucose,2:1,1.524,11.637,106.37
Betaine_Chloride,Glucose,3:1,1.407,4.77,113.55
Betaine_Chloride,Glucose,4:1,1.344,3.064,117.86
Betaine_Chloride,Glucose,5:1,1.305,2.36,120.73
Betaine_Chloride,Glycerol,1:1,1.249,5.296,98.15
Betaine_Chloride,Glycerol,1:2,1.309,29.356,85.83
Betaine_Chloride,Glycerol,1:3,1.347,98.605,79.68
Betaine_Chloride,Glycerol,1:4,1.372,236.218,75.98
Betaine_Chloride,Glycerol,1:5,1.39,454.162,73.52
Betaine_Chloride,Glycerol,2:1,1.201,1.896,110.47
Betaine_Chloride,Glycerol,3:1,1.182,1.371,116.62
Betaine_Chloride,Glycerol,4:1,1.171,1.186,120.32
Betaine_Chloride,Glycerol,5:1,1.164,1.097,122.78
Betaine_Chloride,Lactic_Acid,1:1,1.412,0.595,86.05
Betaine_Chloride,Lactic_Acid,1:2,1.593,0.751,69.7
Betaine_Chloride,Lactic_Acid,1:3,1.719,0.977,61.52
Betaine_Chloride,Lactic_Acid,1:4,1.813,1.228,56.62
Betaine_Chloride,Lactic_Acid,1:5,1.884,1.485,53.35
Betaine_Chloride,Lactic_Acid,2:1,1.29,0.601,102.4
Betaine_Chloride,Lactic_Acid,3:1,1.242,0.64,110.57
Betaine_Chloride,Lactic_Acid,4:1,1.216,0.674,115.48
Betaine_Chloride,Lactic_Acid,5:1,1.2,0.701,118.75
Betaine_Chloride,Levulinic_Acid,1:1,1.418,0.497,94.9
Betaine_Chloride,Levulinic_Acid,1:2,1.575,0.434,81.5
Betaine_Chloride,Levulinic_Acid,1:3,1.675,0.413,74.8
Betaine_Chloride,Levulinic_Acid,1:4,1.744,0.405,70.78
Betaine_Chloride,Levulinic_Acid,1:5,1.795,0.401,68.1
Betaine_Chloride,Levulinic_Acid,2:1,1.299,0.591,108.3
Betaine_Chloride,Levulinic_Acid,3:1,1.25,0.651,115
Betaine_Chloride,Levulinic_Acid,4:1,1.224,0.692,119.02
Betaine_Chloride,Levulinic_Acid,5:1,1.207,0.722,121.7
Betaine_Chloride,Malic_Acid,1:1,1.924,0.76,74.6
Betaine_Chloride,Malic_Acid,1:2,2.579,1.125,54.43
Betaine_Chloride,Malic_Acid,1:3,3.129,1.733,44.35
Betaine_Chloride,Malic_Acid,1:4,3.599,2.588,38.3
Betaine_Chloride,Malic_Acid,1:5,4.004,3.706,34.27
Betaine_Chloride,Malic_Acid,2:1,1.548,0.702,94.77
Betaine_Chloride,Malic_Acid,3:1,1.414,0.719,104.85
Betaine_Chloride,Malic_Acid,4:1,1.346,0.741,110.9
Betaine_Chloride,Malic_Acid,5:1,1.304,0.759,114.93
Betaine_Chloride,Malonic_Acid,1:1,1.834,0.297,70.1
Betaine_Chloride,Malonic_Acid,1:2,2.485,0.26,48.43
Betaine_Chloride,Malonic_Acid,1:3,3.092,0.277,37.6
Betaine_Chloride,Malonic_Acid,1:4,3.66,0.312,31.1
Betaine_Chloride,Malonic_Acid,1:5,4.191,0.357,26.77
Betaine_Chloride,Malonic_Acid,2:1,1.49,0.399,91.77
Betaine_Chloride,Malonic_Acid,3:1,1.372,0.479,102.6
Betaine_Chloride,Malonic_Acid,4:1,1.313,0.539,109.1
Betaine_Chloride,Malonic_Acid,5:1,1.277,0.584,113.43
Betaine_Chloride,Sorbitol,1:1,1.501,587.501,111.65
Betaine_Chloride,Sorbitol,1:2,1.66,56964.5,103.83
Betaine_Chloride,Sorbitol,1:3,1.75,1034196.225,99.93
Betaine_Chloride,Sorbitol,1:4,1.806,7366677.495,97.58
Betaine_Chloride,Sorbitol,1:5,1.846,30167701.321,96.02
Betaine_Chloride,Sorbitol,2:1,1.362,23.723,119.47
Betaine_Chloride,Sorbitol,3:1,1.299,7.335,123.37
Betaine_Chloride,Sorbitol,4:1,1.264,4.099,125.72
Betaine_Chloride,Sorbitol,5:1,1.24,2.918,127.28
Betaine_Chloride,Sucrose,1:1,2.297,1030135.693,107.8
Betaine_Chloride,Sucrose,1:2,2.828,10411024561.257,98.7
Betaine_Chloride,Sucrose,1:3,3.132,3578875486986.17,94.15
Betaine_Chloride,Sucrose,1:4,3.329,189213077650603,91.42
Betaine_Chloride,Sucrose,1:5,3.467,3297697791147521,89.6
Betaine_Chloride,Sucrose,2:1,1.848,1429.832,116.9
Betaine_Chloride,Sucrose,3:1,1.649,119.151,121.45
Betaine_Chloride,Sucrose,4:1,1.537,33.552,124.18
Betaine_Chloride,Sucrose,5:1,1.465,15.717,126
Betaine_Chloride,Urea,1:1,1.268,0.385,84
Betaine_Chloride,Urea,1:2,1.359,0.394,66.97
Betaine_Chloride,Urea,1:3,1.425,0.451,58.45
Betaine_Chloride,Urea,1:4,1.474,0.521,53.34
Betaine_Chloride,Urea,1:5,1.513,0.593,49.93
Betaine_Chloride,Urea,2:1,1.208,0.46,101.03
Betaine_Chloride,Urea,3:1,1.185,0.528,109.55
Betaine_Chloride,Urea,4:1,1.173,0.58,114.66
Betaine_Chloride,Urea,5:1,1.165,0.62,118.07
Choline_Chloride,"1,2_Butanediol",1:1,0.911,109.85,125.7
Choline_Chloride,"1,2_Butanediol",1:2,0.95,159.512,112.03
Choline_Chloride,"1,2_Butanediol",1:3,0.973,205.425,105.2
Choline_Chloride,"1,2_Butanediol",1:4,0.988,245.464,101.1
Choline_Chloride,"1,2_Butanediol",1:5,0.999,279.864,98.37
Choline_Chloride,"1,2_Butanediol",2:1,0.881,86.57,139.37
Choline_Chloride,"1,2_Butanediol",3:1,0.867,79.913,146.2
Choline_Chloride,"1,2_Butanediol",4:1,0.86,76.973,150.3
Choline_Chloride,"1,2_Butanediol",5:1,0.855,75.374,153.03
Choline_Chloride,"1,3_Butanediol",1:1,0.911,109.85,125.7
Choline_Chloride,"1,3_Butanediol",1:2,0.95,159.512,112.03
Choline_Chloride,"1,3_Butanediol",1:3,0.973,205.425,105.2
Choline_Chloride,"1,3_Butanediol",1:4,0.988,245.464,101.1
Choline_Chloride,"1,3_Butanediol",1:5,0.999,279.864,98.37
Choline_Chloride,"1,3_Butanediol",2:1,0.881,86.57,139.37
Choline_Chloride,"1,3_Butanediol",3:1,0.867,79.913,146.2
Choline_Chloride,"1,3_Butanediol",4:1,0.86,76.973,150.3
Choline_Chloride,"1,3_Butanediol",5:1,0.855,75.374,153.03
Choline_Chloride,"1,4_Butanediol",1:1,0.913,123.724,125.55
Choline_Chloride,"1,4_Butanediol",1:2,0.951,188.006,111.83
Choline_Chloride,"1,4_Butanediol",1:3,0.975,248.141,104.97
Choline_Chloride,"1,4_Butanediol",1:4,0.99,301.138,100.86
Choline_Chloride,"1,4_Butanediol",1:5,1.001,347.036,98.12
Choline_Chloride,"1,4_Butanediol",2:1,0.881,93.505,139.27
Choline_Chloride,"1,4_Butanediol",3:1,0.868,84.609,146.12
Choline_Chloride,"1,4_Butanediol",4:1,0.86,80.545,150.24
Choline_Chloride,"1,4_Butanediol",5:1,0.856,78.266,152.98
Choline_Chloride,"1,6_Hexanediol",1:1,0.908,315.21,141.65
Choline_Chloride,"1,6_Hexanediol",1:2,0.938,608.135,133.3
Choline_Chloride,"1,6_Hexanediol",1:3,0.955,877.808,129.12
Choline_Chloride,"1,6_Hexanediol",1:4,0.966,1109.198,126.62
Choline_Chloride,"1,6_Hexanediol",1:5,0.973,1304.369,124.95
Choline_Chloride,"1,6_Hexanediol",2:1,0.881,178.486,150
Choline_Chloride,"1,6_Hexanediol",3:1,0.868,138.225,154.17
Choline_Chloride,"1,6_Hexanediol",4:1,0.861,119.561,156.68
Choline_Chloride,"1,6_Hexanediol",5:1,0.856,108.897,158.35
Choline_Chloride,"2,3_Butanediol",1:1,0.91,97.672,125.85
Choline_Chloride,"2,3_Butanediol",1:2,0.948,135.726,112.23
Choline_Chloride,"2,3_Butanediol",1:3,0.971,170.726,105.42
Choline_Chloride,"2,3_Butanediol",1:4,0.985,201.011,101.34
Choline_Chloride,"2,3_Butanediol",1:5,0.996,226.863,98.62
